st,kobehile tlase,kɔbɛˈhilɛ t͡ɬase,kobehile tlase
st,sekotoana se senyenyane,sekɔtɔˈɑnɑ sɛ sɛnˈjɛnjɑnɛ,se-ko-toa-na se se-nye-nya-ne
st,ho sitisa,ho siˈtisa,ho sitisa
st,Sekretariete ya Machaba a Kopaneng,sɛkɾɛtariɛtɛ ya mat͡ʃʰaba a kɔpanɛŋ,Sekretariete ya Machaba a Kopaneng
st,ho hana tšebelisano,ho hana t͡ʃʼɛbɛliˈsɑno,ho hana tshebelisano
st,ka lentsoe le leholo,ka lənt͡sʼwe lə ləˈholo,ka lentsoe le leholo
st,Bobokedi ba Mopapa bo se nang phoso,bɔˈbɔkɛdi bɑ mɔˈpɑpɑ bɔ sɛ nɑŋ ˈpʰɔsɔ,bobokedi ba mopapa bo se nang phoso
st,lebala la boikhutso,leˈbɑlɑ lɑ bɔiˈkʰutsɔ,lebala la boikhutso
st,mohlala,moˈɬɑla,mohlala
st,vermiculite,vɛrmɪkʊˈlaɪtɛ,vermiculite
st,kobehile morao,kɔbɛˈhilɛ mɔˈraɔ,kobehile morao
st,e tlhakantsweng ka metsi,ɛ t͡ɬʰa.ka.nt͡sʷɛŋ kʼa mɛ.t͡si,e tlhagantsweng ka metsi
st,moho oa indasteri,mʊhɔ wɑ ɪnˈdɑstɛri,moho wa indasteri
st,Dumela,duˈmɛla,doo-meh-la
st,teko,ˈtɛko,teko
st,lumela,luˈmɛːla,lu-meh-la
st,lumela,luˈmɛːla,lumela
st,Lumelang,luˈmɛlang,loo-meh-lang
st,lefatshe,lɪˈfɑt͡ʃʰɪ,le-fat-she
st,lefatshe,lɪˈfɑt͡ʃʰɪ,lefatshe
st,nyenyane,ɲɛnˈjanɛ,nye-nya-ne
